year,abbr,relative_margin
2044,NM,-0.008850712443122044
2048,NM,-0.009755343582771565
2052,NM,-0.01740534271979479
2056,NM,0.00974427436967001
2060,NM,0.0221326596898509
2064,NM,0.03882983314943627
2068,NM,0.042235878522909304
2072,NM,0.02569192806218461
2076,NM,0.022531850739696095
2080,NM,0.07256012704185717
2084,NM,0.11315289547358508
2088,NM,0.09543541576405486
2092,NM,0.0855364880594203
2096,NM,0.0792422455335179
2100,NM,0.09374344830070071
2024,NV,-0.01659348765097
2028,NV,-0.09993687591567679
2032,NV,-0.1483650894039801
2036,NV,-0.13365124217179117
2040,NV,-0.14245451439832973
2044,NV,-0.14139158011820457
2048,NV,-0.09981632624292885
2052,NV,-0.10199411688790616
2056,NV,-0.10750306368874529
2060,NV,-0.07655773411201741
2064,NV,-0.12777685033744093
2068,NV,-0.06929040126496788
2072,NV,-0.10204436794183773
2076,NV,-0.05416934546387772
2080,NV,-0.07486385698907519
2084,NV,-0.027472593067745233
2088,NV,0.012144483229459118
2092,NV,-0.009698514834644739
2096,NV,0.08075771995192825
2100,NV,0.10159605699208815
2024,NY,0.1418915526055895
2028,NY,0.11124628747917091
2032,NY,0.13283714926047993
2036,NY,0.19501356650785198
2040,NY,0.15292457918000124
2044,NY,0.1464628427191509
2048,NY,0.10863231746373028
2052,NY,0.14276367343232543
2056,NY,0.18427845802887674
2060,NY,0.19916433349443352
2064,NY,0.18740997203172477
2068,NY,0.22249296599333543
2072,NY,0.15670802753745547
2076,NY,0.3359500542219575
2080,NY,0.22046405392025728
2084,NY,0.22834777715983146
2088,NY,0.2147203079632013
2092,NY,0.20229499160961212
2096,NY,0.16418461175126264
2100,NY,0.236882940671589
2024,OH,-0.0981356028385405
2028,OH,-0.04551105434164905
2032,OH,-0.04612302467851151
2036,OH,-0.0267459636303303
2040,OH,-0.004778401497148156
2044,OH,-0.03105093586309839
2048,OH,-0.0363750487774934
2052,OH,-0.05014672770071938
2056,OH,-0.07245479105058643
2060,OH,-0.07888818991262231
2064,OH,-0.0679395833592319
2068,OH,-0.09125070296627727
2072,OH,-0.07109545466811393
2076,OH,-0.05535685042633404
2080,OH,-0.06667960551262163
2084,OH,-0.005332611107424782
2088,OH,-0.029935981543982096
2092,OH,-0.0820053351408235
2096,OH,-0.0508775111493396
2100,OH,-0.04385643899716155
2024,OK,-0.334404146689216
2028,OK,-0.24336646432353073
2032,OK,-0.17034984691927962
2036,OK,-0.1600482158261176
2040,OK,-0.10199328409149243
2044,OK,-0.14455295124545114
2048,OK,-0.17945921701523498
2052,OK,-0.18968730762373268
2056,OK,-0.00541345146608097
2060,OK,-0.056119358862623966
2064,OK,-0.19626600504609223
2068,OK,-0.2486522523539417
2072,OK,-0.28668034432141837
2076,OK,-0.2936904296823031
2080,OK,-0.37818280565346457
2084,OK,-0.34471555172089163
2088,OK,-0.3293256090123196
2092,OK,-0.38986465097913375
2096,OK,-0.44385906443490314
2100,OK,-0.38833323522030466
2024,OR,0.163657852131952
2028,OR,0.10593774045775961
2032,OR,0.06670260758796309
2036,OR,0.02680535340571707
2040,OR,0.0065720804005914395
2044,OR,0.05144433901179845
2048,OR,0.06621772092933406
